date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:26:12	33934/33934	---M-Z	200	added ('OK')	text/html	etag:W/%2262117334-848e%22	https://apiensnft.shop/presale.html	C:/Mes%20Sites%20Web/apiens/apiensnft.shop/presale.html	(from )
01:26:13	67/67	---M--	200	added ('OK')	text/plain	date:Thu,%2024%20Feb%202022%2000:26:13%20GMT	https://apiensnft.shop/robots.txt		(from )
01:26:14	6741/6741	---M-Z	200	added ('OK')	text/css	etag:W/%2262117333-1a55%22	https://apiensnft.shop/cdnjs.cloudflare.com/ajax/libs/toastr.js/latest/toastr.min.css	C:/Mes%20Sites%20Web/apiens/apiensnft.shop/cdnjs.cloudflare.com/ajax/libs/toastr.js/latest/toastr.min.css	(from https://apiensnft.shop/presale.html)
01:26:15	2996/2996	---M-Z	200	added ('OK')	text/css	etag:W/%2262117334-bb4%22	https://apiensnft.shop/fonts.css	C:/Mes%20Sites%20Web/apiens/apiensnft.shop/fonts.css	(from https://apiensnft.shop/presale.html)
01:26:16	3154/3154	---MCZ	200	added ('OK')	text/html	etag:W/%2262117334-c52%22	https://apiensnft.shop/3.html	C:/Mes%20Sites%20Web/apiens/apiensnft.shop/3.html	(from https://apiensnft.shop/presale.html)
01:26:17	146/146	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2024%20Feb%202022%2000:26:17%20GMT	https://apiensnft.shop/pbs.twimg.com/profile_images/1447494549996113927/lGuncivC_400x400.jpg	C:/Mes%20Sites%20Web/apiens/apiensnft.shop/pbs.twimg.com/profile_images/1447494549996113927/lGuncivC_400x400.4.delayed	(from https://apiensnft.shop/presale.html)
01:26:18	3154/3154	---M-Z	200	added ('OK')	text/html	etag:W/%2262117334-c52%22	https://apiensnft.shop/logo192.html	C:/Mes%20Sites%20Web/apiens/apiensnft.shop/logo192.html	(from https://apiensnft.shop/presale.html)
01:26:19	3154/3154	---M-Z	200	added ('OK')	text/html	etag:W/%2262117334-c52%22	https://apiensnft.shop/manifest.html	C:/Mes%20Sites%20Web/apiens/apiensnft.shop/manifest.html	(from https://apiensnft.shop/presale.html)
01:26:22	3749884/3749884	---M--	200	added ('OK')	image/png	etag:%2262117334-3937fc%22	https://apiensnft.shop/banner.png	C:/Mes%20Sites%20Web/apiens/apiensnft.shop/banner.png	(from https://apiensnft.shop/presale.html)
01:26:23	5537/5537	---M-Z	200	added ('OK')	application/javascript	etag:W/%2262117333-15a1%22	https://apiensnft.shop/cdnjs.cloudflare.com/ajax/libs/toastr.js/latest/toastr.min.js	C:/Mes%20Sites%20Web/apiens/apiensnft.shop/cdnjs.cloudflare.com/ajax/libs/toastr.js/latest/toastr.min.js	(from https://apiensnft.shop/presale.html)
01:26:25	1723183/1723183	---M--	200	added ('OK')	image/gif	etag:%2262117334-1a4b2f%22	https://apiensnft.shop/gif.gif	C:/Mes%20Sites%20Web/apiens/apiensnft.shop/gif.gif	(from https://apiensnft.shop/presale.html)
01:26:25	1412143/1412143	---M-Z	200	added ('OK')	application/javascript	etag:W/%2262117333-158c2f%22	https://apiensnft.shop/cdn.jsdelivr.net/npm/web3%40latest/dist/web3.min.js	C:/Mes%20Sites%20Web/apiens/apiensnft.shop/cdn.jsdelivr.net/npm/web3@latest/dist/web3.min.js	(from https://apiensnft.shop/presale.html)
01:26:26	583/583	---MCZ	200	added ('OK')	text/html	etag:W/%2262117333-247%22	https://apiensnft.shop/fonts/satoshi-variable.html	C:/Mes%20Sites%20Web/apiens/apiensnft.shop/fonts/satoshi-variable.html	(from https://apiensnft.shop/fonts.css)
01:26:27	587/587	---M-Z	200	added ('OK')	text/html	etag:W/%2262117333-24b%22	https://apiensnft.shop/fonts/satoshi-variable-2.html	C:/Mes%20Sites%20Web/apiens/apiensnft.shop/fonts/satoshi-variable-2.html	(from https://apiensnft.shop/fonts.css)
01:26:28	587/587	---MCZ	200	added ('OK')	text/html	etag:W/%2262117333-24b%22	https://apiensnft.shop/fonts/satoshi-variable-3.html	C:/Mes%20Sites%20Web/apiens/apiensnft.shop/fonts/satoshi-variable-3.html	(from https://apiensnft.shop/fonts.css)
01:26:29	595/595	---M-Z	200	added ('OK')	text/html	etag:W/%2262117333-253%22	https://apiensnft.shop/fonts/satoshi-variableitalic.html	C:/Mes%20Sites%20Web/apiens/apiensnft.shop/fonts/satoshi-variableitalic.html	(from https://apiensnft.shop/fonts.css)
01:26:30	599/599	---M-Z	200	added ('OK')	text/html	etag:W/%2262117333-257%22	https://apiensnft.shop/fonts/satoshi-variableitalic-2.html	C:/Mes%20Sites%20Web/apiens/apiensnft.shop/fonts/satoshi-variableitalic-2.html	(from https://apiensnft.shop/fonts.css)
01:26:31	599/599	---MCZ	200	added ('OK')	text/html	etag:W/%2262117333-257%22	https://apiensnft.shop/fonts/satoshi-variableitalic-3.html	C:/Mes%20Sites%20Web/apiens/apiensnft.shop/fonts/satoshi-variableitalic-3.html	(from https://apiensnft.shop/fonts.css)
01:26:32	589/589	---M-Z	200	added ('OK')	text/html	etag:W/%2262117333-24d%22	https://apiensnft.shop/fonts/satoshi-lightitalic.html	C:/Mes%20Sites%20Web/apiens/apiensnft.shop/fonts/satoshi-lightitalic.html	(from https://apiensnft.shop/fonts.css)
01:26:33	593/593	---MCZ	200	added ('OK')	text/html	etag:W/%2262117334-251%22	https://apiensnft.shop/fonts/satoshi-lightitalic-2.html	C:/Mes%20Sites%20Web/apiens/apiensnft.shop/fonts/satoshi-lightitalic-2.html	(from https://apiensnft.shop/fonts.css)
01:26:34	593/593	---M-Z	200	added ('OK')	text/html	etag:W/%2262117334-251%22	https://apiensnft.shop/fonts/satoshi-lightitalic-3.html	C:/Mes%20Sites%20Web/apiens/apiensnft.shop/fonts/satoshi-lightitalic-3.html	(from https://apiensnft.shop/fonts.css)
01:26:35	577/577	---M-Z	200	added ('OK')	text/html	etag:W/%2262117333-241%22	https://apiensnft.shop/fonts/satoshi-light.html	C:/Mes%20Sites%20Web/apiens/apiensnft.shop/fonts/satoshi-light.html	(from https://apiensnft.shop/fonts.css)
01:26:36	581/581	---MCZ	200	added ('OK')	text/html	etag:W/%2262117334-245%22	https://apiensnft.shop/fonts/satoshi-light-2.html	C:/Mes%20Sites%20Web/apiens/apiensnft.shop/fonts/satoshi-light-2.html	(from https://apiensnft.shop/fonts.css)
01:26:37	581/581	---MCZ	200	added ('OK')	text/html	etag:W/%2262117334-245%22	https://apiensnft.shop/fonts/satoshi-light-3.html	C:/Mes%20Sites%20Web/apiens/apiensnft.shop/fonts/satoshi-light-3.html	(from https://apiensnft.shop/fonts.css)
01:26:38	581/581	---MCZ	200	added ('OK')	text/html	etag:W/%2262117333-245%22	https://apiensnft.shop/fonts/satoshi-regular.html	C:/Mes%20Sites%20Web/apiens/apiensnft.shop/fonts/satoshi-regular.html	(from https://apiensnft.shop/fonts.css)
01:26:40	585/585	---MCZ	200	added ('OK')	text/html	etag:W/%2262117334-249%22	https://apiensnft.shop/fonts/satoshi-regular-2.html	C:/Mes%20Sites%20Web/apiens/apiensnft.shop/fonts/satoshi-regular-2.html	(from https://apiensnft.shop/fonts.css)
01:26:41	585/585	---MCZ	200	added ('OK')	text/html	etag:W/%2262117334-249%22	https://apiensnft.shop/fonts/satoshi-regular-3.html	C:/Mes%20Sites%20Web/apiens/apiensnft.shop/fonts/satoshi-regular-3.html	(from https://apiensnft.shop/fonts.css)
01:26:42	579/579	---M-Z	200	added ('OK')	text/html	etag:W/%2262117333-243%22	https://apiensnft.shop/fonts/satoshi-italic.html	C:/Mes%20Sites%20Web/apiens/apiensnft.shop/fonts/satoshi-italic.html	(from https://apiensnft.shop/fonts.css)
01:26:43	583/583	---MCZ	200	added ('OK')	text/html	etag:W/%2262117333-247%22	https://apiensnft.shop/fonts/satoshi-italic-2.html	C:/Mes%20Sites%20Web/apiens/apiensnft.shop/fonts/satoshi-italic-2.html	(from https://apiensnft.shop/fonts.css)
01:26:44	583/583	---M-Z	200	added ('OK')	text/html	etag:W/%2262117333-247%22	https://apiensnft.shop/fonts/satoshi-italic-3.html	C:/Mes%20Sites%20Web/apiens/apiensnft.shop/fonts/satoshi-italic-3.html	(from https://apiensnft.shop/fonts.css)
01:26:45	591/591	---MCZ	200	added ('OK')	text/html	etag:W/%2262117333-24f%22	https://apiensnft.shop/fonts/satoshi-mediumitalic.html	C:/Mes%20Sites%20Web/apiens/apiensnft.shop/fonts/satoshi-mediumitalic.html	(from https://apiensnft.shop/fonts.css)
01:26:46	595/595	---M-Z	200	added ('OK')	text/html	etag:W/%2262117334-253%22	https://apiensnft.shop/fonts/satoshi-mediumitalic-2.html	C:/Mes%20Sites%20Web/apiens/apiensnft.shop/fonts/satoshi-mediumitalic-2.html	(from https://apiensnft.shop/fonts.css)
01:26:47	595/595	---MCZ	200	added ('OK')	text/html	etag:W/%2262117334-253%22	https://apiensnft.shop/fonts/satoshi-mediumitalic-3.html	C:/Mes%20Sites%20Web/apiens/apiensnft.shop/fonts/satoshi-mediumitalic-3.html	(from https://apiensnft.shop/fonts.css)
01:26:48	64/64	---M--	200	added ('OK')	font/woff2	etag:%2262117333-40%22	https://apiensnft.shop/fonts/Satoshi-Medium.woff2	C:/Mes%20Sites%20Web/apiens/apiensnft.shop/fonts/Satoshi-Medium.woff2	(from https://apiensnft.shop/fonts.css)
01:26:49	33272/33272	---M--	200	added ('OK')	font/woff	etag:%2262117333-81f8%22	https://apiensnft.shop/fonts/Satoshi-Medium.woff	C:/Mes%20Sites%20Web/apiens/apiensnft.shop/fonts/Satoshi-Medium.woff	(from https://apiensnft.shop/fonts.css)
01:26:50	73756/73756	---MCZ	200	added ('OK')	application/x-font-ttf	etag:W/%2262117333-1201c%22	https://apiensnft.shop/fonts/Satoshi-Medium.ttf	C:/Mes%20Sites%20Web/apiens/apiensnft.shop/fonts/Satoshi-Medium.ttf	(from https://apiensnft.shop/fonts.css)
01:26:51	587/587	---M-Z	200	added ('OK')	text/html	etag:W/%2262117334-24b%22	https://apiensnft.shop/fonts/satoshi-bolditalic.html	C:/Mes%20Sites%20Web/apiens/apiensnft.shop/fonts/satoshi-bolditalic.html	(from https://apiensnft.shop/fonts.css)
01:26:52	591/591	---M-Z	200	added ('OK')	text/html	etag:W/%2262117333-24f%22	https://apiensnft.shop/fonts/satoshi-bolditalic-2.html	C:/Mes%20Sites%20Web/apiens/apiensnft.shop/fonts/satoshi-bolditalic-2.html	(from https://apiensnft.shop/fonts.css)
01:26:53	591/591	---M-Z	200	added ('OK')	text/html	etag:W/%2262117333-24f%22	https://apiensnft.shop/fonts/satoshi-bolditalic-3.html	C:/Mes%20Sites%20Web/apiens/apiensnft.shop/fonts/satoshi-bolditalic-3.html	(from https://apiensnft.shop/fonts.css)
01:26:54	62/62	---M--	200	added ('OK')	font/woff2	etag:%2262117333-3e%22	https://apiensnft.shop/fonts/Satoshi-Bold.woff2	C:/Mes%20Sites%20Web/apiens/apiensnft.shop/fonts/Satoshi-Bold.woff2	(from https://apiensnft.shop/fonts.css)
01:26:55	32972/32972	---M--	200	added ('OK')	font/woff	etag:%2262117333-80cc%22	https://apiensnft.shop/fonts/Satoshi-Bold.woff	C:/Mes%20Sites%20Web/apiens/apiensnft.shop/fonts/Satoshi-Bold.woff	(from https://apiensnft.shop/fonts.css)
